Term,Term,Semester,College or School,College Description,Department,Class Subject,Class Number,Class,Course,Class Section,Career,Course Class Description,Enrollment Capacity,Total Enrolled,Component,Room Number,Days of the Week,Class Start Time,Class End Time,Class on Monday,Class on Tuesday,Class on Wednesday,Class on Thursday,Class on Friday,Class on Saturday,Class on Sunday,Class Start Date,Class End Date,Professor Name,Summer Session,Class Location Description,City
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,1,Undergraduate,ACCOUNT PRIN II,80,72,CRE,BLB  005,MTWR, 9:00:00.000000AM,12:20:00.000000PM,Y,Y,Y,Y,N,N,N,5/12/2025,5/30/2025,"Grieser,Anne Marie",3W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,2020,ACCT 2020,ACCT 2020,2,Undergraduate,ACCOUNT PRIN II,84,61,CRE,WH   322,MW, 1:00:00.000000PM, 4:50:00.000000PM,Y,N,Y,N,N,N,N,6/23/2025,7/25/2025,"Stovall,Olin Scott",5W2,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,3110,ACCT 3110,ACCT 3110,1,Undergraduate,INTER ACCT I,48,25,CRE,BLB  260,MW, 6:00:00.000000PM, 7:50:00.000000PM,Y,N,Y,N,N,N,N,5/19/2025,7/25/2025,"Hossain,Md Enayet",10W,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,3110,ACCT 3110,ACCT 3110,501,Undergraduate,INTER ACCT I,59,15,CRE,FRLD 310,MW, 6:00:00.000000PM, 7:50:00.000000PM,Y,N,Y,N,N,N,N,5/19/2025,7/25/2025,"Sharma,Nikki",10W,UNTFrisco Landing,Frisco
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,3120,ACCT 3120,ACCT 3120,501,Undergraduate,INTER ACCT II,60,49,CRE,FRLD 310,MW, 4:00:00.000000PM, 5:50:00.000000PM,Y,N,Y,N,N,N,N,5/19/2025,7/25/2025,"Sharma,Nikki",10W,UNTFrisco Landing,Frisco
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,3270,ACCT 3270,ACCT 3270,1,Undergraduate,COST ACCOUNTING,60,23,CRE,WH   116,MW,11:00:00.000000AM, 2:50:00.000000PM,Y,N,Y,N,N,N,N,5/19/2025,6/20/2025,"Wilner,Neil Alan",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,3405,ACCT 3405,ACCT 3405,1,Undergraduate,PROF DEVELOPMENT,50,14,CRE,BLB  090,MW,10:00:00.000000AM,11:20:00.000000AM,Y,N,Y,N,N,N,N,5/19/2025,6/20/2025,"Spath,Sarah Ellen",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,3405,ACCT 3405,ACCT 3405,501,Undergraduate,PROF DEVELOPMENT,40,27,CRE,FRLD 310,MW,12:30:00.000000PM, 1:50:00.000000PM,Y,N,Y,N,N,N,N,5/19/2025,6/20/2025,"Ellis,Christine Michelle",5W1,UNTFrisco Landing,Frisco
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,4100,ACCT 4100,ACCT 4100,401,Undergraduate,ACCOUNTING SYSTEM,48,51,CRE,Internet,,,,N,N,N,N,N,N,N,6/2/2025,7/25/2025,"Lineros,Jose Victor",8W1,Internet Course - Texas,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,4140,ACCT 4140,ACCT 4140,401,Undergraduate,ADV NOT PRO ACCT PRIN,48,37,CRE,Internet,,,,N,N,N,N,N,N,N,5/19/2025,6/20/2025,"Cazier,Richard Arnold",5W1,Accelerated Online Program,
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,4300,ACCT 4300,ACCT 4300,1,Undergraduate,FED INCOME TAX,48,23,CRE,BLB  250,TR, 6:00:00.000000PM, 9:50:00.000000PM,N,Y,N,Y,N,N,N,5/19/2025,6/20/2025,"Seetharaman,Ananth",5W1,UNT Main Campus,Denton
1253,Summer 2025,Summer 2025,BUAD,Brint Ryan College of Business,Accounting,ACCT,4320,ACCT 4320,ACCT 4320,401,Undergraduate,FED TAX II,45,35,CRE,Internet,,,,N,N,N,N,N,N,N,6/23/2025,7/25/2025,"Jimenez,Peggy Denise",5W2,Internet Course - Texas,Denton
